Date,Open,Adj Close,Volume,Returns,Range,MA_12,MA_21,HMM,MA_Signal,HMM_Signal,Main_Signal,lrets_bench,bench_prod,bench_prod_exp,lrets_strat,lrets_prod,strat_prod_exp
2019-01-15,257.82000732421875,241.7522735595703,85208300,0.011460511901205006,0.011209862595730646,235.94721094767252,233.4876505533854,0,1.0,1,1.0,0.011395337715029458,0.011395337715029458,0.011460511901205006,0.011607107207809848,0.011607107207809848,0.011674731062518706
2019-01-16,260.8299865722656,242.33731079101562,77636700,0.0024199864714040675,0.005257080142367032,236.97095743815103,233.57706560407365,0,1.0,1,1.0,0.002417063019669019,0.013812400734698476,0.013908232656365316,-0.003148673258018597,0.00845843394979125,0.008494307575797277
2019-01-17,260.010009765625,244.17587280273438,96118400,0.007586788867621985,0.015233197810519794,237.97999827067056,233.97867257254464,1,1.0,1,1.0,0.007558153925270482,0.021370554659968958,0.02160054034867298,0.018934263527933183,0.027392697477724434,0.02777132673456717
2019-01-18,264.9800109863281,247.42588806152344,127900300,0.013310140848415086,0.01513312162101954,239.2397600809733,234.54734947567894,0,1.0,1,1.0,0.013222339167458911,0.03459289382742787,0.0351981874315308,-0.0006040153319895215,0.02678868214573491,0.027150724540928373
2019-01-22,264.82000732421875,244.08299255371094,115531200,-0.013510694188076489,0.015322148308464012,240.68290583292642,235.12477329799108,2,1.0,0,1.0,-0.013602794113529123,0.020990099713898744,0.02121194129709214,-0.0030633593625441144,0.023725322783190797,0.024009007313470665
2019-01-23,264.010009765625,244.59373474121094,86030300,0.0020924939593551795,0.01584441350720689,241.53564071655273,235.90631684802827,2,1.0,0,0.0,0.0020903077431018717,0.023080407457000615,0.023348821115477758,-0.0,0.023725322783190797,0.024009007313470665
2019-01-24,263.2099914550781,244.7237548828125,59204100,0.0005315759283006649,0.008089231316337209,242.24522399902344,236.91668628510973,3,1.0,0,0.0,0.0005314346918665997,0.023611842148867215,0.023892808715037628,0.0,0.023725322783190797,0.024009007313470665
2019-01-25,265.6099853515625,246.79440307617188,96883400,0.008461165506188362,0.011530033007273177,242.94242350260416,238.30688258579798,0,1.0,1,0.0,0.008425570487950621,0.032037412636817836,0.032556135230171535,-0.0,0.023725322783190797,0.024009007313470665
2019-01-28,263.3900146484375,244.91868591308594,85613700,-0.007600322939685933,0.007792421256572535,243.3904546101888,239.08422342936197,1,1.0,1,1.0,-0.007629352577367449,0.024408060059450388,0.024708375149068207,0.0020101986670084354,0.025735521450199233,0.026069539200336278
2019-01-29,263.9200134277344,244.59373474121094,66136300,-0.001326771661637638,0.007886226455348755,243.74099095662436,239.76251947312127,3,1.0,0,1.0,-0.0013276526024497835,0.023080407457000605,0.023348821115477758,0.0044610585200534104,0.030196579970252643,0.030657120586732978
2019-01-30,265.1000061035156,248.46583557128906,92473700,0.01583074412831942,0.016158898821842405,244.4064623514811,240.63935198102678,0,1.0,1,0.0,0.01570674485368157,0.03878715231068218,0.03954919445657423,0.0,0.030196579970252643,0.030657120586732978
2019-01-31,267.510009765625,250.6480255126953,104012100,0.008782655918825988,0.011972957453399546,245.37604268391928,241.5241444905599,0,1.0,1,1.0,0.008744312736106208,0.04753146504678839,0.04867919734217896,0.009820352376471048,0.04001693234672369,0.04082839771049396
2019-02-01,270.1499938964844,250.76870727539062,85782500,0.0004814790080569509,0.007504344996706491,246.12741216023764,242.40319024948846,1,1.0,1,1.0,0.00048136313423173543,0.04801282818102012,0.04918411436188541,-0.00014810849047420204,0.039868823856249486,0.04067425360297361
2019-02-04,270.1099853515625,252.532958984375,60744800,0.007035374262414962,0.009912435301960398,246.97704950968424,243.6302243187314,0,1.0,1,1.0,0.007010741483306604,0.05502356966432673,0.05656551727660153,0.008589186127841035,0.04845800998409052,0.049651296020340574
2019-02-05,272.44000244140625,253.59152221679688,79552800,0.004191782477341421,0.005737816428487141,247.7616869608561,244.5459674653553,0,1.0,1,1.0,0.004183021431571649,0.059206591095898375,0.06099441009808482,0.001283884395726687,0.04974189437981721,0.05099979241175889
2019-02-06,272.7900085449219,253.25723266601562,58347800,-0.0013182205298466476,0.00522206104749845,248.2476323445638,245.35779971168154,0,1.0,1,1.0,-0.0013190901468446332,0.05788750094905374,0.05959578548464095,-0.006804896566641794,0.042936997813175413,0.043872126552122914
2019-02-07,270.94000244140625,250.8429718017578,95482000,-0.009532840736049653,0.012150952865250142,248.81096394856772,245.94898841494606,1,1.0,1,1.0,-0.009578569108539745,0.04830893184051399,0.04949482761702639,-0.008115823721591928,0.03482117409158349,0.03543452972232486
2019-02-08,268.75,251.14938354492188,75788900,0.0012215281176233272,0.010267707642430013,249.3572680155436,246.501706077939,3,1.0,0,1.0,0.0012207826591561517,0.04952971449967014,0.050776815058260816,0.009075021635544125,0.043896195727127614,0.04487388688474869
2019-02-11,271.20001220703125,251.28871154785156,68021400,0.0005547614768672826,0.005406775031212119,249.90434773763022,247.0208209809803,0,1.0,1,0.0,0.0005546076536066915,0.05008432215327683,0.051359745556040615,0.0,0.043896195727127614,0.04487388688474869
2019-02-12,272.4200134277344,254.52008056640625,72270200,0.012859188933122212,0.008004673221323477,250.54815419514975,247.68938773018974,1,1.0,1,1.0,0.012777211589906043,0.06286153374318287,0.06487937916082487,0.00953513587749101,0.053431331604618625,0.05488455205095821
2019-02-13,275.0299987792969,255.34654235839844,65277200,0.0032471378688587738,0.004989784125035035,251.41714223225912,248.46717253185454,0,1.0,1,1.0,0.003241877301471299,0.06610341104465417,0.06833718931866484,-0.004555318478580179,0.048876013126038446,0.050090145273820275
2019-02-14,273.7799987792969,254.78012084960938,83234400,-0.0022182462451127982,0.010151425883451859,252.26600774129233,249.0875462123326,1,1.0,1,1.0,-0.0022207101977582753,0.0638827008468959,0.06596735435994439,0.009379450907015427,0.05825546403305387,0.059985749359416474
2019-02-15,276.3599853515625,257.5565490722656,97088700,0.010897350285405949,0.004635493270063407,253.02356719970703,249.81227184477308,3,1.0,0,1.0,0.010838402030316545,0.07472110287721245,0.07758357401321225,0.00043421473643912213,0.05868967876949299,0.060446110732816916
2019-02-19,276.4800109863281,258.0022277832031,59120800,0.0017304110982339083,0.007631878114248369,253.63641738891602,250.47066970098587,0,1.0,1,0.0,0.0017289156618474043,0.07645001853905986,0.07944823658895928,0.0,0.05868967876949299,0.060446110732816916
2019-02-20,277.80999755859375,258.522216796875,76610800,0.0020154438903094984,0.0060234929764990675,254.28254318237305,250.99906630743118,0,1.0,1,1.0,0.002013415608074139,0.078463434147134,0.08162380394229785,-0.00039597973417628457,0.058293699035316705,0.060026278691756474
2019-02-21,277.70001220703125,257.6029052734375,64214700,-0.0035560252222338606,0.0063325491635577436,254.70503870646158,251.6428716750372,1,1.0,1,1.0,-0.0035623629090346513,0.07490107123809935,0.0777775224145103,0.0014752279400659719,0.05976892697538268,0.06159121310896132
2019-02-22,278.1099853515625,259.2000427246094,78114600,0.006199997820197645,0.007065578580400134,255.17241541544595,252.33841015043714,0,1.0,1,1.0,0.006180856908710257,0.0810819281468096,0.08445974070413831,0.009376726249428249,0.06914565322481092,0.07159227865312534
2019-02-25,280.7300109863281,259.5528564453125,69030700,0.0013611638215584865,0.006727999613820312,255.69705073038736,253.04455784388952,0,1.0,1,1.0,0.001360238277866454,0.08244216642467606,0.08593586806912157,-0.005715751845653327,0.06342990137915759,0.06548479416900732
